Index,Chess Index,Name,Live Value,Min Value,Max Value,Mean Value,StdDev Value,Top1 Core ID,Top1 Strength,Top1 Quality,Top2 Core ID,Top2 Strength,Top2 Quality,Top3 Core ID,Top3 Strength,Top3 Quality,Top4 Core ID,Top4 Strength,Top4 Quality
0,A0,"STAPM Limit",350.000,350.000,350.000,350.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
1,B0,"STAPM Value",79.053,60.444,261.286,76.137,9.739,0,0.052,1.000,30,0.051,1.000,31,0.000,1.000,29,0.000,1.000
2,C0,"PPT Limit (Fast)",175.000,175.000,175.000,175.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
3,D0,"PPT Value (Fast)",19.479,7.280,82.826,16.867,3.644,1,0.171,1.000,30,0.111,1.000,21,0.034,1.000,20,0.033,1.000
4,E0,"PPT Limit",175.000,175.000,175.000,175.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
5,F0,"PPT Value",0.449,0.000,46.757,2.513,4.543,0,0.095,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
6,G0,"PPT Limit (APU)",95.000,95.000,95.000,95.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
7,H0,"PPT Value (APU)",77.106,60.106,177.524,68.264,6.344,1,0.110,1.000,30,0.061,1.000,20,0.057,1.000,15,0.056,1.000
8,A1,"TDC Limit",95.000,95.000,95.000,95.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
9,B1,"TDC Value",62.688,58.548,138.018,61.833,5.053,11,0.053,1.000,30,0.039,1.000,0,0.034,1.000,28,0.034,1.000
10,C1,"TDC Limit (SoC)",661.184,108.802,1322.368,612.356,159.110,0,0.144,1.000,15,0.000,1.000,11,0.000,1.000,1,0.000,1.000
11,D1,"TDC Value (SoC)",649.899,3.036,1571.336,602.914,190.224,0,0.140,1.000,15,0.000,1.000,2,0.000,1.000,1,0.000,1.000
12,E1,"EDC Limit",1.251,1.076,2.879,1.369,0.109,11,0.076,1.000,4,0.065,1.000,0,0.049,1.000,30,0.031,1.000
13,F1,"EDC Value",1.255,0.933,2.775,1.331,0.118,0,0.115,1.000,4,0.067,1.000,1,0.066,1.000,11,0.063,1.000
14,G1,"",1.370,1.188,2.924,1.379,0.107,11,0.072,1.000,4,0.058,1.000,14,0.043,1.000,30,0.027,1.000
15,H1,"",0.660,0.660,2.765,0.850,0.283,0,0.175,1.000,1,0.088,1.000,2,0.062,1.000,13,0.058,1.000
16,A2,"THM Limit",94.317,83.806,197.610,93.334,7.168,11,0.074,1.000,4,0.063,1.000,14,0.048,1.000,30,0.034,1.000
17,B2,"THM Value",115.419,94.019,372.184,114.830,13.092,0,0.063,1.000,30,0.053,1.000,1,0.025,1.000,31,0.000,1.000
18,C2,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
19,D2,"",17.699,5.348,100.271,16.157,5.149,1,0.173,1.000,30,0.098,1.000,20,0.050,1.000,21,0.042,1.000
20,E2,"",0.000,0.000,0.000,0.000,0.000,0,0.000,1.000,1,0.000,1.000,2,0.000,1.000,3,0.000,1.000
